bebe,nina,rebecca,tyra,raven,juju,raja,manilla,alexis,sharon,chad,phiphi,jinkx,alaska,roxxxy,bianca,adore,courtney,violet,ginger,pearl,bob,kimchi,naomi,sasha,peppermint,shea,trinity
0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0
0,2,-1,1,0,0,0,0,2,1,2,0,0,0,0,2,-1,1,1,2,0,0,2,0,0,0,1,1
0,0,0,1,-2,1,0,0,2,2,1,0,1,-1,1,1,-1,1,0,1,-1,0,-1,0,0,1,0,2
0,1,1,2,-2,0,0,2,0,0,1,1,1,0,-1,0,1,2,0,0,-2,2,0,0,2,-1,2,-2
0,0,0,0,0,0,1,0,1,1,2,-1,2,1,1,1,1,0,-1,0,2,0,0,0,0,1,2,0
2,1,0,0,0,-1,2,1,-2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0
0,0,0,2,1,1,1,-2,0,0,0,1,1,-2,1,0,0,0,0,1,0,2,0,-2,-1,-2,0,0
1,1,-2,0,1,-2,-1,-1,2,1,-1,2,1,1,-2,1,2,-1,0,2,0,0,1,2,1,0,1,2
0,0,0,0,0,0,2,1,-1,-2,0,-2,1,2,-1,2,0,0,1,-2,2,0,0,0,2,2,1,-1
-2,0,2,-1,2,1,1,1,-2,2,1,-1,2,1,1,1,-2,2,-1,2,-2,2,-1,1,1,1,2,1
0,0,0,1,2,-2,-2,2,1,-1,1,2,1,-1,2,2,-2,0,2,-2,0,-2,2,1,1,0,-2,2
2,1,-2,2,0,-2,1,2,-2,2,-2,1,-2,2,1,1,2,-1,2,0,0,0,0,0,0,-2,2,-1
